Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Uncertainty Range Category,Variable Unit,Value,Conversion Value
Solar,PV,Electricity,Megawatts,MW,2026,2000,Land,Land Consumed,Nominal,acres,3.5,7000
Solar,PV,Electricity,Megawatts,MW,2027,3000,Land,Land Consumed,Nominal,acres,3.5,10500
Solar,PV,Electricity,Megawatts,MW,2028,4000,Land,Land Consumed,Nominal,acres,3.5,14000
Solar,PV,Electricity,Megawatts,MW,2029,5000,Land,Land Consumed,Nominal,acres,3.5,17500
Solar,PV,Electricity,Megawatts,MW,2030,6000,Land,Land Consumed,Nominal,acres,3.5,21000
Solar,PV,Electricity,Megawatts,MW,2031,7000,Land,Land Consumed,Nominal,acres,3.5,24500
Solar,PV,Electricity,Megawatts,MW,2032,8000,Land,Land Consumed,Nominal,acres,3.5,28000
Solar,PV,Electricity,Megawatts,MW,2033,9000,Land,Land Consumed,Nominal,acres,3.5,31500
Solar,PV,Electricity,Megawatts,MW,2034,10000,Land,Land Consumed,Nominal,acres,3.5,35000
Solar,PV,Electricity,Megawatts,MW,2035,11000,Land,Land Consumed,Nominal,acres,3.5,38500
Solar,PV,Electricity,Megawatts,MW,2036,12000,Land,Land Consumed,Nominal,acres,3.5,42000
Solar,PV,Electricity,Megawatts,MW,2037,13000,Land,Land Consumed,Nominal,acres,3.5,45500
Solar,PV,Electricity,Megawatts,MW,2038,14000,Land,Land Consumed,Nominal,acres,3.5,49000
Solar,PV,Electricity,Megawatts,MW,2039,15000,Land,Land Consumed,Nominal,acres,3.5,52500
Solar,PV,Electricity,Megawatts,MW,2040,16000,Land,Land Consumed,Nominal,acres,3.5,56000
Solar,PV,Electricity,Megawatts,MW,2041,17000,Land,Land Consumed,Nominal,acres,3.5,59500
Solar,PV,Electricity,Megawatts,MW,2042,18000,Land,Land Consumed,Nominal,acres,3.5,63000
Solar,PV,Electricity,Megawatts,MW,2043,19000,Land,Land Consumed,Nominal,acres,3.5,66500
Solar,PV,Electricity,Megawatts,MW,2044,20000,Land,Land Consumed,Nominal,acres,3.5,70000
Solar,PV,Electricity,Megawatts,MW,2045,20000,Land,Land Consumed,Nominal,acres,3.5,70000
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,Land,Land Consumed,Nominal,acres,0.0683,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,Land,Land Consumed,Nominal,acres,0.0683,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,Land,Land Consumed,Nominal,acres,0.0683,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,Land,Land Consumed,Nominal,acres,0.0683,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,0,Land,Land Consumed,Nominal,acres,0.0683,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,10000,Land,Land Consumed,Nominal,acres,0.0683,683
Wind,Wind turbine,Electricity,Megawatts,MW,2025,25,Land,Land Consumed,Nominal,acres,2.5,62.5
Wind,Wind turbine,Electricity,Megawatts,MW,2026,50,Land,Land Consumed,Nominal,acres,2.5,125
Wind,Wind turbine,Electricity,Megawatts,MW,2027,75,Land,Land Consumed,Nominal,acres,2.5,187.5
Wind,Wind turbine,Electricity,Megawatts,MW,2028,100,Land,Land Consumed,Nominal,acres,2.5,250
Wind,Wind turbine,Electricity,Megawatts,MW,2029,125,Land,Land Consumed,Nominal,acres,2.5,312.5
Wind,Wind turbine,Electricity,Megawatts,MW,2030,150,Land,Land Consumed,Nominal,acres,2.5,375
Wind,Wind turbine,Electricity,Megawatts,MW,2031,175,Land,Land Consumed,Nominal,acres,2.5,437.5
Wind,Wind turbine,Electricity,Megawatts,MW,2032,200,Land,Land Consumed,Nominal,acres,2.5,500
Wind,Wind turbine,Electricity,Megawatts,MW,2033,225,Land,Land Consumed,Nominal,acres,2.5,562.5
Wind,Wind turbine,Electricity,Megawatts,MW,2034,250,Land,Land Consumed,Nominal,acres,2.5,625
Wind,Wind turbine,Electricity,Megawatts,MW,2035,275,Land,Land Consumed,Nominal,acres,2.5,687.5
Wind,Wind turbine,Electricity,Megawatts,MW,2036,300,Land,Land Consumed,Nominal,acres,2.5,750
Wind,Wind turbine,Electricity,Megawatts,MW,2037,325,Land,Land Consumed,Nominal,acres,2.5,812.5
Wind,Wind turbine,Electricity,Megawatts,MW,2038,350,Land,Land Consumed,Nominal,acres,2.5,875
Wind,Wind turbine,Electricity,Megawatts,MW,2039,375,Land,Land Consumed,Nominal,acres,2.5,937.5
Wind,Wind turbine,Electricity,Megawatts,MW,2040,400,Land,Land Consumed,Nominal,acres,2.5,1000
Wind,Wind turbine,Electricity,Megawatts,MW,2041,400,Land,Land Consumed,Nominal,acres,2.5,1000
Wind,Wind turbine,Electricity,Megawatts,MW,2042,400,Land,Land Consumed,Nominal,acres,2.5,1000
Wind,Wind turbine,Electricity,Megawatts,MW,2043,400,Land,Land Consumed,Nominal,acres,2.5,1000
Wind,Wind turbine,Electricity,Megawatts,MW,2044,400,Land,Land Consumed,Nominal,acres,2.5,1000
Wind,Wind turbine,Electricity,Megawatts,MW,2045,400,Land,Land Consumed,Nominal,acres,2.5,1000
Solar,PV,Electricity,Megawatts,MW,2025,1000,Land,Land Impacted,Nominal,acres,4.375,4375
Solar,PV,Electricity,Megawatts,MW,2026,2000,Land,Land Impacted,Nominal,acres,4.375,8750
Solar,PV,Electricity,Megawatts,MW,2027,3000,Land,Land Impacted,Nominal,acres,4.375,13125
Solar,PV,Electricity,Megawatts,MW,2028,4000,Land,Land Impacted,Nominal,acres,4.375,17500
Solar,PV,Electricity,Megawatts,MW,2029,5000,Land,Land Impacted,Nominal,acres,4.375,21875
Solar,PV,Electricity,Megawatts,MW,2030,6000,Land,Land Impacted,Nominal,acres,4.375,26250
Solar,PV,Electricity,Megawatts,MW,2031,7000,Land,Land Impacted,Nominal,acres,4.375,30625
Solar,PV,Electricity,Megawatts,MW,2032,8000,Land,Land Impacted,Nominal,acres,4.375,35000
Solar,PV,Electricity,Megawatts,MW,2033,9000,Land,Land Impacted,Nominal,acres,4.375,39375
Solar,PV,Electricity,Megawatts,MW,2034,10000,Land,Land Impacted,Nominal,acres,4.375,43750
Solar,PV,Electricity,Megawatts,MW,2035,11000,Land,Land Impacted,Nominal,acres,4.375,48125
Solar,PV,Electricity,Megawatts,MW,2036,12000,Land,Land Impacted,Nominal,acres,4.375,52500
Solar,PV,Electricity,Megawatts,MW,2037,13000,Land,Land Impacted,Nominal,acres,4.375,56875
Solar,PV,Electricity,Megawatts,MW,2038,14000,Land,Land Impacted,Nominal,acres,4.375,61250
Solar,PV,Electricity,Megawatts,MW,2039,15000,Land,Land Impacted,Nominal,acres,4.375,65625
Solar,PV,Electricity,Megawatts,MW,2040,16000,Land,Land Impacted,Nominal,acres,4.375,70000
Solar,PV,Electricity,Megawatts,MW,2041,17000,Land,Land Impacted,Nominal,acres,4.375,74375
Solar,PV,Electricity,Megawatts,MW,2042,18000,Land,Land Impacted,Nominal,acres,4.375,78750
Solar,PV,Electricity,Megawatts,MW,2043,19000,Land,Land Impacted,Nominal,acres,4.375,83125
Solar,PV,Electricity,Megawatts,MW,2044,20000,Land,Land Impacted,Nominal,acres,4.375,87500
Solar,PV,Electricity,Megawatts,MW,2045,20000,Land,Land Impacted,Nominal,acres,4.375,87500
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,Land,Land Impacted,Nominal,acres,0.08537499999999999,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,Land,Land Impacted,Nominal,acres,0.08537499999999999,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,Land,Land Impacted,Nominal,acres,0.08537499999999999,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,Land,Land Impacted,Nominal,acres,0.08537499999999999,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,0,Land,Land Impacted,Nominal,acres,0.08537499999999999,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,10000,Land,Land Impacted,Nominal,acres,0.08537499999999999,853.7499999999999
Wind,Wind turbine,Electricity,Megawatts,MW,2025,25,Land,Land Impacted,Nominal,acres,82,2050
Wind,Wind turbine,Electricity,Megawatts,MW,2026,50,Land,Land Impacted,Nominal,acres,82,4100
Wind,Wind turbine,Electricity,Megawatts,MW,2027,75,Land,Land Impacted,Nominal,acres,82,6150
Wind,Wind turbine,Electricity,Megawatts,MW,2028,100,Land,Land Impacted,Nominal,acres,82,8200
Wind,Wind turbine,Electricity,Megawatts,MW,2029,125,Land,Land Impacted,Nominal,acres,82,10250
Wind,Wind turbine,Electricity,Megawatts,MW,2030,150,Land,Land Impacted,Nominal,acres,82,12300
Wind,Wind turbine,Electricity,Megawatts,MW,2031,175,Land,Land Impacted,Nominal,acres,82,14350
Wind,Wind turbine,Electricity,Megawatts,MW,2032,200,Land,Land Impacted,Nominal,acres,82,16400
Wind,Wind turbine,Electricity,Megawatts,MW,2033,225,Land,Land Impacted,Nominal,acres,82,18450
Wind,Wind turbine,Electricity,Megawatts,MW,2034,250,Land,Land Impacted,Nominal,acres,82,20500
Wind,Wind turbine,Electricity,Megawatts,MW,2035,275,Land,Land Impacted,Nominal,acres,82,22550
Wind,Wind turbine,Electricity,Megawatts,MW,2036,300,Land,Land Impacted,Nominal,acres,82,24600
Wind,Wind turbine,Electricity,Megawatts,MW,2037,325,Land,Land Impacted,Nominal,acres,82,26650
Wind,Wind turbine,Electricity,Megawatts,MW,2038,350,Land,Land Impacted,Nominal,acres,82,28700
Wind,Wind turbine,Electricity,Megawatts,MW,2039,375,Land,Land Impacted,Nominal,acres,82,30750
Wind,Wind turbine,Electricity,Megawatts,MW,2040,400,Land,Land Impacted,Nominal,acres,82,32800
Wind,Wind turbine,Electricity,Megawatts,MW,2041,400,Land,Land Impacted,Nominal,acres,82,32800
Wind,Wind turbine,Electricity,Megawatts,MW,2042,400,Land,Land Impacted,Nominal,acres,82,32800
Wind,Wind turbine,Electricity,Megawatts,MW,2043,400,Land,Land Impacted,Nominal,acres,82,32800
Wind,Wind turbine,Electricity,Megawatts,MW,2044,400,Land,Land Impacted,Nominal,acres,82,32800
Wind,Wind turbine,Electricity,Megawatts,MW,2045,400,Land,Land Impacted,Nominal,acres,82,32800
